year_index,scenario,behaviour,foresight_period,id,country,latitude,longitude,company_name,company_id,type,technology_status,clinker_ratio,production_intensity_kgco2_per_t,production_t_per_yr,emissions_tco2,initial_production_t_per_yr,revenue,regular_opex_to_revenue,regular_opex,additional_carbon_cost,additional_clinker_cost,maintenance_capex_to_revenue,maintenance_capex,transition_capex_realized
0,,,,P100000124212_clinker,Germany,51.363518,10.48249,Buzzi SpA,E100002005243,clinker,ccus,0.71,463.8114645311488,784192.4739067621,363717.459797,784192.4739067621,62735397.912540965,0.7328401710755583,45975019.73871975,0.0,0.0,0.0807064786947568,5063153.055035578,0.0
0,,,,P100000124253_clinker,Germany,51.62262,8.503328,Buzzi SpA,E100002005243,clinker,alternative_fuels,0.95,779.8346093541777,199361.60780777884,155469.081545,199361.60780777884,15948928.624622308,0.7328401710755583,11688015.581740081,0.0,0.0,0.0807064786947568,1287181.8682472773,0.0
0,,,,P100000124254_clinker,Germany,49.602153,8.036755,Buzzi SpA,E100002005243,clinker,alternative_fuels,0.95,660.9309887958544,419708.6480169288,277398.45174,419708.6480169288,33576691.8413543,0.7328401710755583,24606348.59316939,0.0,0.0,0.0807064786947568,2709856.564734676,0.0
0,,,,P100000124277_clinker,Germany,52.174513,7.887858,Buzzi SpA,E100002005243,clinker,alternative_fuels,0.95,900.9880820491059,928605.38376067,836662.383695,928605.38376067,74288430.7008536,0.7328401710755583,54441546.26374831,0.0,0.0,0.0807064786947568,5995557.649625358,0.0
0,,,,P100000124384_clinker,Germany,50.032084,8.257539,Buzzi SpA,E100002005243,clinker,alternative_fuels,0.79,591.2676717509202,414462.2899139905,245058.153186,414462.2899139905,33156983.19311924,0.7328401710755583,24298769.235594913,0.0,0.0,0.0807064786947568,2675983.3576578875,0.0
0,,,,P100000125364_clinker,Italy,37.193315,15.181309,Buzzi SpA,E100002005243,clinker,alternative_fuels,0.95,680.9994043954131,996808.038855272,678825.680757,996808.038855272,79744643.10842176,0.7328401710755583,58440077.897935145,0.0,0.0,0.0807064786947568,6435909.340050826,0.0
0,,,,P100000125365_clinker,Italy,41.314509,16.291325,Buzzi SpA,E100002005243,clinker,alternative_fuels,0.95,714.731416443398,577099.39105869,412471.0652,577099.39105869,46167951.2846952,0.7328401710755583,33833729.31768408,0.0,0.0,0.0807064786947568,3726052.7767388234,0.0
0,,,,P100000125366_clinker,Italy,46.176627,12.741918,Buzzi SpA,E100002005243,clinker,alternative_fuels,0.95,957.8281350871645,131158.95250463445,125627.7348775,131158.95250463445,10492716.200370755,0.7328401710755583,7689483.935326986,0.0,0.0,0.0807064786947568,846830.1764753519,0.0
0,,,,P100000125367_clinker,Italy,44.302879,7.507667,Buzzi SpA,E100002005243,clinker,alternative_fuels,0.95,626.7626844120472,839417.2961597702,526115.437883,839417.2961597702,67153383.69278161,0.7328401710755583,49212697.19372068,0.0,0.0,0.0807064786947568,5419713.130282308,0.0
0,,,,P100000125368_clinker,Italy,40.556684,9.672591,Buzzi SpA,E100002005243,clinker,alternative_fuels,0.95,733.1205915587449,262317.90503812383,192310.657718,262317.90503812383,20985432.40304991,0.7328401710755583,15378967.87234566,0.0,0.0,0.0807064786947568,1693660.3531370065,0.0
0,,,,P100000125369_clinker,Italy,44.793393,9.810411,Buzzi SpA,E100002005243,clinker,ccus,0.95,443.4182959223162,682026.5528871692,302423.051855,682026.5528871692,54562124.230973534,0.7328401710755583,39985316.45567251,0.0,0.0,0.0807064786947568,4403516.91678774,0.0
0,,,,P100000125370_clinker,Italy,42.005682,12.716474,Buzzi SpA,E100002005243,clinker,alternative_fuels,0.95,570.531219496487,996808.038855272,568710.106012,996808.038855272,79744643.10842176,0.7328401710755583,58440077.897935145,0.0,0.0,0.0807064786947568,6435909.340050826,0.0
0,,,,P100000125371_clinker,Italy,45.252873,11.751312,Buzzi SpA,E100002005243,clinker,ccus,0.95,364.55126363974415,419708.6480169288,153005.3179951,419708.6480169288,33576691.8413543,0.7328401710755583,24606348.59316939,0.0,0.0,0.0807064786947568,2709856.564734676,0.0
0,,,,P100000126427_clinker,Czech Republic,49.558549,17.766832,Buzzi SpA,E100002005243,clinker,alternative_fuels,0.95,684.1232659884209,577099.39105869,394807.120211,577099.39105869,46167951.2846952,0.7328401710755583,33833729.31768408,0.0,0.0,0.0807064786947568,3726052.7767388234,0.0
0,,,,P100000126458_clinker,Poland,50.806848,20.530019,Buzzi SpA,E100002005243,clinker,base,0.95,663.250419233716,839417.2961597702,556743.87359,839417.2961597702,67153383.69278161,0.7328401710755583,49212697.19372068,0.0,0.0,0.0807064786947568,5419713.130282308,0.0
0,,,,P100000126473_clinker,Luxembourg,49.465844,6.006874,Buzzi SpA,E100002005243,clinker,base,0.71,913.8048665894788,19297.016304169265,17633.707409406394,19297.016304169265,1543761.304333541,0.7328401710755583,1131330.2983676193,0.0,0.0,0.0807064786947568,124591.53881798491,0.0
0,,,,P100000126702_clinker,Slovenia,46.069604,13.627652,Buzzi SpA,E100002005243,clinker,alternative_fuels,0.95,555.712498443886,170506.6382217923,94752.6699275,170506.6382217923,13640531.057743384,0.7328401710755583,9996329.113918127,0.0,0.0,0.0807064786947568,1100879.229196935,0.0
0,,,,P100000124212_grinding,Germany,51.363518,10.48249,Buzzi SpA,E100002005243,grinding,base,0.71,0.0,1113087.499863044,0.0,1113087.499863044,111308749.98630439,0.7328401710755583,81571523.38216986,0.0,0.0,0.0807064786947568,8983337.259309687,0.0
0,,,,P100000124253_grinding,Germany,51.62262,8.503328,Buzzi SpA,E100002005243,grinding,base,0.95,0.0,211486.6249789873,0.0,211486.6249789873,21148662.49789873,0.7328401710755583,15498589.44297935,0.0,0.0,0.0807064786947568,1706834.0793092663,0.0
0,,,,P100000124254_grinding,Germany,49.602153,8.036755,Buzzi SpA,E100002005243,grinding,base,0.95,0.0,445234.99995634856,0.0,445234.99995634856,44523499.995634854,0.7328401710755583,32628609.353683665,0.0,0.0,0.0807064786947568,3593334.903813709,0.0
0,,,,P100000124277_grinding,Germany,52.174513,7.887858,Buzzi SpA,E100002005243,grinding,base,0.95,0.0,985082.4374280482,0.0,985082.4374280482,98508243.74280483,0.7328401710755583,72190798.19682989,0.0,0.0,0.0807064786947568,7950253.474886588,0.0
0,,,,P100000124384_grinding,Germany,50.032084,8.257539,Buzzi SpA,E100002005243,grinding,base,0.79,0.0,528716.5624446855,0.0,528716.5624446855,52871656.24446855,0.7328401710755583,38746473.60724444,0.0,0.0,0.0807064786947568,4267085.198250706,0.0
0,,,,P100000124409,Germany,51.21482,6.702804,Buzzi SpA,E100002005243,grinding,base,0.75,0.0,278271.87497967464,0.0,278271.87497967464,27827187.497967463,0.7328401710755583,20392880.846562114,0.0,0.0,0.0807064786947568,2245834.314939714,0.0
0,,,,P100000124468,Germany,50.417558,7.473787,Buzzi SpA,E100002005243,grinding,base,0.75,0.0,445234.9999674794,0.0,445234.9999674794,44523499.99674794,0.7328401710755583,32628609.35449938,0.0,0.0,0.0807064786947568,3593334.9039035426,0.0
0,,,,P100000125364_grinding,Italy,37.193315,15.181309,Buzzi SpA,E100002005243,grinding,base,0.95,0.0,1057433.1247001465,0.0,1057433.1247001465,105743312.47001465,0.7328401710755583,77492947.20062175,0.0,0.0,0.0807064786947568,8534170.394974248,0.0
0,,,,P100000125365_grinding,Italy,41.314509,16.291325,Buzzi SpA,E100002005243,grinding,base,0.95,0.0,612198.124977546,0.0,612198.124977546,61219812.4977546,0.7328401710755583,44864337.86406808,0.0,0.0,0.0807064786947568,4940835.493047038,0.0
0,,,,P100000125366_grinding,Italy,46.176627,12.741918,Buzzi SpA,E100002005243,grinding,base,0.95,0.0,139135.93748566325,0.0,139135.93748566325,13913593.748566326,0.7328401710755583,10196440.422975166,0.0,0.0,0.0807064786947568,1122917.1574361697,0.0
0,,,,P100000125367_grinding,Italy,44.302879,7.507667,Buzzi SpA,E100002005243,grinding,base,0.95,0.0,890470.0000462676,0.0,890470.0000462676,89047000.00462677,0.7328401710755583,65257218.71715592,0.0,0.0,0.0807064786947568,7186669.808705419,0.0
